"Code","Title","Definition","Parent Codes","Ecf Case Types","Taxonomies"
"H0-09-02-00-00","Title to a home","This category concerns how to have a 'Title' to one's home, to show that one owns a home. This includes issues on how couples can arrange for multiple people to have 'title' to a home, how to change title to a home, or how to clear title one's home. This also includes issues around title when buying or selling a home, like needs to clear title to home, do title searches, get title insurance, and other issues.","HO-09-00-00-00, HO-04-00-00-00",,"NSMI v1 Taxonomy [1621100]"
"HO-09-02-01-00","Clearing Title to one's home","This category concerns how to prove one own's one's home, by getting a clear title to the property. A title may not be clear if title was not formally transferred after the owner dies, or during a sale of the property. This may be important after a natural disaster, when homeowners must be able to prove they own their home in order to access relief funds that would let them rebuild their home.","H0-09-02-00-00, HO-10-00-00-00",,
"HO-08-01-00-00","Defenses against a Foreclosure","This category concerns options a homeowner may have to defend against a foreclosure action. These defenses can include that the bank didn't follow state procedures; that the loan holder can't prove that they own the loan (they lack standing); that the mortgage servicer make a serious mistake; that the homeowner is a service-member on active duty; or that the statute of limitations has passed.","HO-08-00-00-00",,"NSMI v1 Taxonomy [1670300]"
"H0-08-01-01-00","Military Service-members' Protections against Foreclosure","This category concerns defenses and protections that a military service-member can use if they face a foreclosure on their home. This includes local state law, and the federal law, the Servicemembers Civil Relief Act (SCRA), which grants benefits and protections to service-members, depending on when they took out a mortgage loan. It can protect the homeowner from a default judgment, get them a delay, reduce interest rates, and other benefits.","HO-08-01-00-00, VE-06-00-00-00, BE-06-00-00-00",,
"M0-12-01-08-00","Military Service-members' protection against collection and repossession","This category concerns protections that a military service-member may have against debt collectors, and from their property from being repossessed  while they are in military service -- and possibly beyond the end-date of active duty. This includes for repossession of vehicles.","MO-12-01-00-00, VE-06-00-00-00",,"NSMI v1 Taxonomy [1770406]"
"FA-12-01-00-00","Acknowledging paternity","This category concerns how a person can acknowledge paternity of a child.","FA-12-00-00-00",,"NSMI v1 Taxonomy [1360102]"
"FA-12-02-00-00","Blood Tests to determine paternity","This category concerns how to use or respond to requests to take a blood tests to determine paternity of a child.","FA-12-00-00-00",,"NSMI v1 Taxonomy [1360101]"
"FA-12-03-00-00","Contested Paternity","This category concerns how to contest paternity or to respond when someone else is contesting paternity.","FA-12-00-00-00",,"NSMI v1 Taxonomy [1360103]"
"MO-12-01-08-00","Repossession of a car","This category concerns the repossession of an automobile, in which a lender or leasing company takes a vehicle back after the owner misses a payment.","MO-12-01-00-00, MO-12-01-07-00, TR-04-00-00-00",,"NSMI v1 Taxonomy [1020600]"
"TR-04-02-00-00","Issues with Purchasing and Financing a Car","This category concerns issues with purchasing a car, including getting financing, reviewing the contract, understanding the loan terms, and having your credit report assessed.","TR-04-00-00-00",,"NSMI v1 Taxonomy [1060800]"
"TR-04-04-00-00","Warranties and contracts for a car","This category concerns problems around 'vehicle warranties' for a car that one has purchased, which a person might have purchased to protect against unexpected or costly repairs or that might come with a manufacturer's warranty. It covers auto service contracts, warranty coverage, disputes around these warranties, how to make a claim, and state/federal lemon laws that relate to vehicle warranties.","TR-04-00-00-00, MO-03-03-00-00, MO-03-04-00-00",,"NSMI v1 Taxonomy [1030202]"
"MO-03-02-00-00","Corporate and Commercial Contracts","This category concerns contracts that are made between businesses or other entities (not personal/individual ones).","MO-03-00-00-00, BU-00-00-00-00",,"NSMI v1 Taxonomy [2344444], NSMI v1 Taxonomy [2051000]"
"MO-03-02-01-00","Arts & Entertainment Contracts","This category concerns contracts that are made in the arts and entertainment sector.","MO-03-02-00-00",,"NSMI v1 Taxonomy [2051730]"
"MO-03-03-00-00","Consumer Contract issues","This category concerns problems a consumer might have with a contract they have signed with a business or other entity.","MO-03-00-00-00",,"NSMI v1 Taxonomy [1030302], NSMI v1 Taxonomy [1030300], NSMI v1 Taxonomy [1030399]"
"TR-04-01-00-00","Car Payment Issues","This category concerns problems a person might have with meeting payments for their car or car insurance -- and what options they might have.","TR-04-00-00-00",,
"TR-04-03-00-00","Car Repair issues","This category concerns issues with having a car repaired, paying for it, refusing to pay, dealing with a mechanic's lien, and protection against unfair or deceptive trade practices for car repair estimates and use of rebuilt parts in the repairs.","TR-04-00-00-00",,"NSMI v1 Taxonomy [1030301]"
"TR-04-04-01-00","Contracts for Car Repairs","This category concerns problems a person might have when contracting for their car to be repaired.","TR-04-04-00-00",,"NSMI v1 Taxonomy [1030301]"
"MO-03-04-00-00","Warranty issues","This category concerns problems a consumer might have around a warranty for a product they have purchased. This may be a written warranty a company issues, spoken warranties from a salesperson, service contract warranties, or implied warranties created by state law. This category covers issues with understanding warranty offers, making claims around them, resolving disputes around warranties, or possible lawsuits around enforcing warranties.","MO-03-00-00-00",,"NSMI v1 Taxonomy [1030200], NSMI v1 Taxonomy [1030299]"
"MO-03-04-01-00","As-Is Warranty issues","This category concerns problems a consumer might face when buying a product -- like a car or other vehicle -- with an 'as-is' warranty. This includes the seller's obligation to notify the buyer of the 'as is' state, and the legal protections that buyers have after purchasing a thing 'as is', or the protective steps a consumer can take before purchasing the thing 'as is'. Some states have 'lemon laws' for cars purchased 'as is', that guarantee a certain warranty period or for certain problems.","MO-03-04-00-00",,"NSMI v1 Taxonomy [1030201]"
"MO-13-01-00-00","Chapter 7 Bankruptcy for people with limited income","This category concerns the process and consequences of filing for Chapter 7 Bankruptcy, which is an option for individuals whose income is below certain requirements. Chapter 7 bankruptcy liquidates general debts (from credit cards and medical bills) without the need to pay them back. It is typically only available to people with low-income or little/no assets.","MO-13-00-00-00",,"NSMI v1 Taxonomy [1010400]"
"MO-13-02-00-00","Chapter 13 Bankruptcy for people with regular income","This category concerns the process and issues of filing for a Chapter 13 'reorganization' bankruptcy for individuals, who have regular income and enough money left over each month to pay back some of their debts (as opposed to those eligible for Chapter 7 'liquidation' bankruptcy). Individuals and sole proprietor companies can apply for Chapter 13 bankruptcy if they meet eligibility requirements. It offers benefits but also requires a payment plan for the debts. It may be used by people who have non-dischargeable debts like for alimony or child support, or for people who have fallen behind on house or car payments and want to catch up on payments and keep the property. It can also be used for debt relief, to lower credit card payments, stop a lawsuit, or prevent wage garnishment.","MO-13-00-00-00",,"NSMI v1 Taxonomy [1010500]"
